;Apr09_TPC_0-1-0_LMW;Apr09_TPC_0-1-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1438,752;0,2749278;0,2384637;
1440,616;0,2702643;0,2339006;
1442,480;0,2655782;0,2293144;
1444,343;0,2612201;0,2250559;
1446,207;0,2575697;0,2215047;
1448,071;0,2533849;0,2174187;
1449,934;0,2487241;0,2128564;
1451,798;0,2447563;0,2089866;
1453,662;0,2418349;0,2061629;
1455,525;0,2408917;0,205317;
1457,389;0,2361327;0,2006549;
1459,253;0,228774;0,1933928;
1461,116;0,224088;0,1888029;
1462,980;0,2211282;0,185939;
1464,844;0,2171321;0,1820382;
1466,707;0,2117534;0,1767547;
1468,571;0,2074036;0,1724996;
1470,435;0,2047934;0,1699838;
1472,298;0,2014759;0,1667603;
1474,162;0,1960789;0,1614569;
1476,026;0,1912505;0,1567218;
1477,889;0,1864916;0,1520559;
1479,753;0,1825045;0,1481614;
1481,617;0,1787822;0,1445313;
1483,480;0,1750693;0,1409102;
1485,344;0,1721079;0,1380404;
1487,208;0,1695908;0,1356145;
1489,071;0,1670615;0,1331761;
1490,935;0,1631523;0,1293575;
1492,799;0,1593042;0,1255995;
1494,662;0,1573727;0,1237579;
1496,526;0,1554122;0,1218869;
1498,390;0,1521089;0,1186728;
1500,253;0,1485094;0,1151621;
1502,117;0,1457182;0,1124594;
1503,981;0,1452959;0,1121253;
1505,844;0,1474408;0,1143581;
1507,708;0,1471355;0,1141403;
1509,572;0,1447478;0,1118398;
1511,435;0,1436311;0,11081;
1513,299;0,1433979;0,1106633;
1515,163;0,1442661;0,1116178;
1517,026;0,1453208;0,1127585;
1518,890;0,1463411;0,1138643;
1520,754;0,1491721;0,1167806;
1522,618;0,1509224;0,1186159;
1524,481;0,1522993;0,1200774;
1526,345;0,1546353;0,1224978;
1528,209;0,1569437;0,1248904;
1530,072;0,1592451;0,1272754;
1531,936;0,1632879;0,1314017;
1533,800;0,1679568;0,1361538;
1535,663;0,17093;0,1392098;
1537,527;0,1758592;0,1442215;
1539,391;0,1858887;0,1543332;
1541,254;0,1954143;0,1639408;
1543,118;0,2013771;0,1699852;
1544,982;0,2081746;0,1768641;
1546,845;0,2159075;0,184678;
1548,709;0,2249897;0,193841;
1550,573;0,2350933;0,204025;
1552,436;0,2448557;0,2138676;
1554,300;0,2555288;0,2246206;
1556,164;0,2677004;0,2368718;
1558,027;0,2823288;0,2515796;
1559,891;0,2921257;0,2614555;
1561,755;0,2952157;0,2646242;
1563,618;0,3000171;0,2695041;
1565,482;0,3047582;0,2743234;
1567,346;0,3083526;0,2779957;
1569,209;0,3090998;0,2788206;
1571,073;0,3057383;0,2755364;
1572,937;0,3041022;0,2739774;
1574,800;0,3039974;0,2739494;
1576,664;0,2992622;0,2692908;
1578,528;0,2935054;0,2636102;
1580,391;0,2902594;0,2604402;
1582,255;0,2867885;0,257045;
1584,119;0,2830805;0,2534125;
1585,982;0,279266;0,2496732;
1587,846;0,2751837;0,2456658;
1589,710;0,2706399;0,2411967;
1591,573;0,2659272;0,2365584;
1593,437;0,2612346;0,23194;
1595,301;0,2562115;0,2269907;
1597,164;0,25113;0,2219829;
1599,028;0,2460452;0,2169714;
1600,892;0,2407527;0,211752;
1602,755;0,2352546;0,2063268;
1604,619;0,2296727;0,2008175;
1606,483;0,2241411;0,1953582;
1608,346;0,218356;0,1896453;
1610,210;0,2122824;0,1836434;
1612,074;0,2065471;0,1779798;
1613,937;0,2021248;0,1736289;
1615,801;0,1976915;0,1692666;
1617,665;0,1903865;0,1620325;
1619,528;0,184678;0,1563946;
1621,392;0,1808546;0,1526416;
1623,256;0,1760556;0,1479127;
1625,119;0,1706881;0,1426151;
1626,983;0,1663305;0,1383271;
1628,847;0,1615297;0,1335958;
1630,710;0,1572846;0,1294199;
1632,574;0,1546074;0,1268116;
1634,438;0,1526957;0,1249686;
1636,301;0,1482612;0,1206025;
1638,165;0,1437389;0,1161484;
1640,029;0,1407726;0,1132502;
1641,892;0,138243;0,1107884;
1643,756;0,1364879;0,1091008;
1645,620;0,1350887;0,1077689;
1647,483;0,1322021;0,1049494;
1649,347;0,1297815;0,1025956;
1651,211;0,1299751;0,1028558;
1653,074;0,1293147;0,1022618;
1654,938;0,1250635;0,09807688;
1656,802;0,1228678;0,09594706;
1658,665;0,1215237;0,09466872;
1660,529;0,1206394;0,09384993;
1662,393;0,1193424;0,09261818;
1664,256;0,1172784;0,09061931;
1666,120;0,1160268;0,08943257;
1667,984;0,1154294;0,08889982;
1669,847;0,1138932;0,08742805;
1671,711;0,1118604;0,0854594;
1673,575;0,1104154;0,08407839;
1675,438;0,1082409;0,08196763;
1677,302;0,1054129;0,07920327;
1679,166;0,1035455;0,07739921;
1681,029;0,1018162;0,07573308;
1682,893;0,1006709;0,07465069;
1684,757;0,09705692;0,0710994;
1686,620;0,09284558;0,06695058;
1688,484;0,08999771;0,06416502;
1690,348;0,08696877;0,06119818;
