;May04_TPC_06-04-0_HMW;May04_TPC_06-04-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1295,250;0,1054158;0,07126407;
1297,114;0,1060331;0,0719498;
1298,977;0,1066888;0,07267353;
1300,841;0,1073123;0,07336466;
1302,705;0,1078776;0,07399721;
1304,568;0,1084198;0,07460628;
1306,432;0,1089497;0,07520267;
1308,296;0,1094667;0,07578586;
1310,159;0,109927;0,07631187;
1312,023;0,1104572;0,07690746;
1313,887;0,1110457;0,07756092;
1315,750;0,1113985;0,07797838;
1317,614;0,1118865;0,07853067;
1319,478;0,1124935;0,07920158;
1321,341;0,1128783;0,07964987;
1323,205;0,1132098;0,08004455;
1325,069;0,1137772;0,08067485;
1326,932;0,1145039;0,08146404;
1328,796;0,1152664;0,08228867;
1330,660;0,1160114;0,0830954;
1332,523;0,1167631;0,08390858;
1334,387;0,117478;0,08468456;
1336,251;0,1184913;0,08575862;
1338,114;0,1200101;0,0873378;
1339,978;0,121823;0,08921083;
1341,842;0,1228322;0,09027977;
1343,705;0,1235865;0,09109344;
1345,569;0,1247978;0,09236385;
1347,433;0,1261293;0,09375412;
1349,296;0,1275082;0,09519146;
1351,160;0,1288169;0,09655824;
1353,024;0,1300484;0,09784758;
1354,887;0,1313862;0,0992428;
1356,751;0,1325331;0,100447;
1358,615;0,1334379;0,1014085;
1360,478;0,1347392;0,1027664;
1362,342;0,1368582;0,1049416;
1364,206;0,1383754;0,1065148;
1366,069;0,1388296;0,1070245;
1367,933;0,1397472;0,1079975;
1369,797;0,1407365;0,1090418;
1371,660;0,1413779;0,1097379;
1373,524;0,1427425;0,1111569;
1375,388;0,1440666;0,1125352;
1377,251;0,1442612;0,1127835;
1379,115;0,1444743;0,1130503;
1380,979;0,1446538;0,113283;
1382,842;0,144607;0,1132891;
1384,706;0,14453;0,1132648;
1386,570;0,1451079;0,1138952;
1388,433;0,1454944;0,1143337;
1390,297;0,1444139;0,1133051;
1392,161;0,1433847;0,1123275;
1394,024;0,1433255;0,1123195;
1395,888;0,1433222;0,1123673;
1397,752;0,142386;0,1114818;
1399,615;0,1415997;0,1107459;
1401,479;0,1400386;0,109235;
1403,343;0,1383654;0,1076118;
1405,206;0,1372762;0,1065723;
1407,070;0,1355418;0,1048873;
1408,934;0,1333828;0,1027774;
