;May25_TPC_02-06-02_LMW;May25_TPC_02-06-02_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1805,895;0,008708729;-0,003984185;
1807,759;0,008743554;-0,003938563;
1809,623;0,00881665;-0,003854704;
1811,486;0,008731671;-0,003928952;
1813,350;0,008482702;-0,004167225;
1815,214;0,008387304;-0,004251958;
1817,077;0,00843513;-0,0041935;
1818,941;0,008519262;-0,00409877;
1820,805;0,008560935;-0,004046531;
1822,668;0,008508424;-0,004088508;
1824,532;0,008597589;-0,003988842;
1826,396;0,008546285;-0,004029676;
1828,259;0,008371018;-0,004194505;
1830,123;0,008434722;-0,004120396;
1831,987;0,008227578;-0,004317167;
1833,850;0,008143296;-0,004391106;
1835,714;0,008243951;-0,004280141;
1837,578;0,008471426;-0,004042386;
1839,441;0,008495344;-0,00400822;
1841,305;0,008361878;-0,004131469;
1843,169;0,008375553;-0,004107608;
1845,032;0,008372808;-0,004100198;
1846,896;0,008101461;-0,00436142;
1848,760;0,008148129;-0,004304658;
1850,623;0,008123901;-0,004318823;
1852,487;0,008034483;-0,004398208;
1854,351;0,007887058;-0,00453563;
1856,214;0,007838189;-0,004574526;
1858,078;0,00803219;-0,004370583;
1859,942;0,008109853;-0,004283007;
1861,805;0,008088769;-0,004294208;
1863,669;0,007993694;-0,00437943;
1865,533;0,007929279;-0,00443402;
1867,396;0,008031022;-0,004322483;
1869,260;0,008088948;-0,004254792;
1871,124;0,007788933;-0,00454507;
1872,987;0,00759478;-0,004729517;
1874,851;0,007705868;-0,004608751;
1876,715;0,007814003;-0,004490966;
1878,578;0,007859511;-0,004435838;
1880,442;0,00780574;-0,004480017;
1882,306;0,007744144;-0,00453205;
1884,169;0,007723195;-0,004543463;
1886,033;0,007718318;-0,004538834;
1887,897;0,007762988;-0,004484685;
1889,760;0,007893286;-0,004344936;
1891,624;0,007832753;-0,004396046;
1893,488;0,007742927;-0,004476477;
1895,351;0,007732956;-0,004477081;
1897,215;0,007619428;-0,004581269;
1899,079;0,007642079;-0,004549306;
1900,942;0,00742666;-0,004755441;
1902,806;0,007231547;-0,004941296;
1904,670;0,007368058;-0,004795554;
1906,533;0,007433616;-0,004720793;
1908,397;0,007378682;-0,004766551;
1910,261;0,00725199;-0,004884093;
1912,124;0,007027451;-0,00509951;
1913,988;0,007186565;-0,004931299;
1915,852;0,007175318;-0,004933476;
1917,715;0,00716347;-0,004936282;
1919,579;0,007130316;-0,004960418;
1921,443;0,006936201;-0,005145543;
1923,306;0,006884463;-0,005188316;
1925,170;0,006679632;-0,005384208;
1927,034;0,006319663;-0,005735265;
1928,897;0,00632588;-0,005720162;
1930,761;0,006408149;-0,005629031;
1932,625;0,006481451;-0,005546893;
1934,488;0,006183758;-0,005835776;
1936,352;0,005632794;-0,006377956;
1938,216;0,005586733;-0,006415259;
1940,079;0,005949453;-0,006043804;
1941,943;0,005900361;-0,006084187;
1943,807;0,005509555;-0,00646631;
1945,670;0,00499772;-0,006969486;
1947,534;0,004814232;-0,00714434;
1949,398;0,005106679;-0,006843284;
1951,261;0,005309887;-0,006631491;
1953,125;0,004814734;-0,007118084;
1954,989;0,004063198;-0,007861085;
1956,852;0,003821742;-0,00809403;
1958,716;0,003849377;-0,008057908;
1960,580;0,003716925;-0,008181898;
1962,443;0,003930227;-0,007960157;
1964,307;0,003894146;-0,007987823;
1966,171;0,003598813;-0,008274765;
1968,034;0,002970212;-0,008895;
1969,898;0,002341457;-0,009515411;
1971,762;0,001752586;-0,01009596;
1973,625;0,001527237;-0,01031302;
1975,489;0,001818219;-0,01001376;
1977,353;0,002428573;-0,009395159;
1979,216;0,002884152;-0,008931354;
1981,080;0,00285504;-0,008952263;
1982,944;0,003151736;-0,008647388;
1984,807;0,003241607;-0,00854936;
1986,671;0,002915686;-0,008867148;
1988,535;0,003093584;-0,00868114;
1990,398;0,002435462;-0,009331174;
1992,262;0,002342318;-0,009416252;
1994,126;0,003356153;-0,008394375;
1995,989;0,003651549;-0,008090959;
1997,853;0,003763839;-0,007970672;
1999,717;0,003880095;-0,007846441;
2001,580;0,003414171;-0,008304411;
2003,444;0,003135062;-0,00857559;
2005,308;0,002802488;-0,008900254;
2007,171;0,002267247;-0,009427609;
2009,035;0,00168268;-0,01000431;
2010,899;0,001313356;-0,01036579;
2012,762;0,001396509;-0,01027482;
2014,626;0,001966425;-0,009697103;
2016,490;0,001600859;-0,01005489;
2018,353;0,0006395377;-0,01100846;
2020,217;0,0008378845;-0,01080237;
2022,081;0,001696856;-0,00993569;
2023,944;0,001621409;-0,01000344;
2025,808;0,001500419;-0,01011676;
2027,672;0,001237207;-0,01037233;
2029,535;0,0009762618;-0,01062564;
2031,399;0,001658772;-0,009935525;
2033,263;0,002532078;-0,009054631;
2035,126;0,002608752;-0,008970392;
2036,990;0,002519994;-0,009051605;
2038,854;0,003053204;-0,00851087;
2040,717;0,003505369;-0,008051201;
2042,581;0,003224092;-0,008324995;
2044,445;0,002789616;-0,008752008;
2046,308;0,003250121;-0,00828406;
2048,172;0,004253896;-0,007272863;
2050,036;0,004783727;-0,00673563;
2051,899;0,005175652;-0,006336323;
2053,763;0,005226583;-0,006278031;
2055,627;0,005315359;-0,006181913;
2057,490;0,005830818;-0,005659132;
2059,354;0,006219206;-0,005263442;
2061,218;0,006197891;-0,005277475;
2063,081;0,006411581;-0,005056523;
2064,945;0,006415025;-0,005045836;
2066,809;0,006262178;-0,005191459;
2068,672;0,006627686;-0,004818748;
2070,536;0,00691562;-0,00452363;
2072,400;0,006789503;-0,004642581;
2074,264;0,007193225;-0,004231714;
2076,127;0,007122696;-0,004295117;
2077,991;0,006813439;-0,004597267;
2079,855;0,007070094;-0,004333523;
