;Mar24_TPC_08-02-0_HMW;Mar24_TPC_08-02-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1187,157;0,08331306;0,04984665;
1189,021;0,08362722;0,05027489;
1190,884;0,08398358;0,05074463;
1192,748;0,08441015;0,05128388;
1194,612;0,08493618;0,05192188;
1196,475;0,08544617;0,05254314;
1198,339;0,08603055;0,0532381;
1200,203;0,08662359;0,05394105;
1202,066;0,08722077;0,05464744;
1203,930;0,08782405;0,05535926;
1205,794;0,08837313;0,05601621;
1207,657;0,08886739;0,05661768;
1209,521;0,08943773;0,05729456;
1211,385;0,09001521;0,05797794;
1213,248;0,09051781;0,05858578;
1215,112;0,09096837;0,05914093;
1216,976;0,09139264;0,05966917;
1218,839;0,09176027;0,06014011;
1220,703;0,09213178;0,06061432;
1222,567;0,09248485;0,06106945;
1224,430;0,09284328;0,06152933;
1226,294;0,0931514;0,06193829;
1228,158;0,09337574;0,06226284;
1230,021;0,09355951;0,06254623;
1231,885;0,09376819;0,06285392;
1233,749;0,0939708;0,06315494;
1235,612;0,09417217;0,06345413;
1237,476;0,09434864;0,06372784;
1239,340;0,09452477;0,06400062;
1241,203;0,09465935;0,06423127;
1243,067;0,09478795;0,06445536;
1244,931;0,09487945;0,06464178;
1246,795;0,09491407;0,06477076;
1248,658;0,09497239;0,06492287;
1250,522;0,09510527;0,06514899;
1252,386;0,09521791;0,06535431;
1254,249;0,09537481;0,06560334;
1256,113;0,09552825;0,06584837;
1257,977;0,09570358;0,06611474;
1259,840;0,09588839;0,06639006;
1261,704;0,09597332;0,06656497;
1263,568;0,09600091;0,06668199;
1265,431;0,09601018;0,06678019;
1267,295;0,09602244;0,06688084;
1269,159;0,09609727;0,06704354;
1271,022;0,09618114;0,06721477;
1272,886;0,09630153;0,06742201;
1274,750;0,09641971;0,06762653;
1276,613;0,09659759;0,06789025;
1278,477;0,09683432;0,06821232;
1280,341;0,09711677;0,06857961;
1282,204;0,0974169;0,06896409;
1284,068;0,09777445;0,0694055;
1285,932;0,09821293;0,06992736;
1287,795;0,09878636;0,07058368;
1289,659;0,09937064;0,07125038;
1291,523;0,0998949;0,07185658;
1293,386;0,1004075;0,07245065;
1295,250;0,1010694;0,07319355;
1297,114;0,1017664;0,07397109;
1298,977;0,1024578;0,07474257;
1300,841;0,1031327;0,0754971;
1302,705;0,103804;0,07624751;
1304,568;0,1044569;0,07697918;
1306,432;0,1051437;0,07774421;
1308,296;0,1057863;0,07846467;
1310,159;0,1064431;0,0791988;
1312,023;0,1071768;0,0800094;
1313,887;0,1078643;0,08077341;
1315,750;0,1084661;0,08145125;
1317,614;0,1092275;0,08228833;
1319,478;0,1099955;0,08313153;
1321,341;0,1106404;0,08385123;
1323,205;0,111299;0,08458418;
1325,069;0,1121037;0,08546283;
1326,932;0,1129818;0,08641443;
1328,796;0,1139185;0,08742429;
1330,660;0,1148871;0,08846559;
1332,523;0,1158412;0,08949206;
1334,387;0,116834;0,09055673;
1336,251;0,1182051;0,09199932;
1338,114;0,120042;0,09390736;
1339,978;0,1216353;0,09557133;
1341,842;0,1225885;0,0965948;
1343,705;0,1237212;0,09779745;
1345,569;0,1251745;0,09932029;
1347,433;0,1267694;0,1009844;
1349,296;0,1283418;0,1026255;
1351,160;0,1298859;0,104238;
1353,024;0,1314364;0,1058565;
1354,887;0,133021;0,1075088;
1356,751;0,1344009;0,108956;
1358,615;0,1358207;0,1104427;
1360,478;0,1378159;0,1125044;
1362,342;0,1399917;0,1147464;
1364,206;0,1411824;0,1160029;
1366,069;0,1421749;0,1170609;
1367,933;0,1434949;0,118446;
1369,797;0,144659;0,1196748;
1371,660;0,1460619;0,1211421;
1373,524;0,1478905;0,1230348;
1375,388;0,1488129;0,1240208;
1377,251;0,149254;0,1245253;
1379,115;0,1498279;0,1251622;
1380,979;0,1503582;0,1257552;
1382,842;0,1506558;0,1261151;
1384,706;0,1512875;0,1268088;
1386,570;0,1521907;0,1277737;
1388,433;0,1518515;0,1274958;
1390,297;0,1510499;0,1267552;
1392,161;0,1510226;0,1267886;
1394,024;0,1515293;0,1273557;
1395,888;0,1511106;0,126997;
