;Jun02_TPC_1-0-0_LMW;Jun02_TPC_1-0-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1284,068;0,1360784;0,1107378;
1285,932;0,1378602;0,1125674;
1287,795;0,1397274;0,1144822;
1289,659;0,1415432;0,1163453;
1291,523;0,1434299;0,1182792;
1293,386;0,1453589;0,1202551;
1295,250;0,1473403;0,1222832;
1297,114;0,149325;0,1243145;
1298,977;0,1512759;0,1263117;
1300,841;0,1531811;0,128263;
1302,705;0,1551781;0,130306;
1304,568;0,1572013;0,1323749;
1306,432;0,1593518;0,1345709;
1308,296;0,16154;0,1368045;
1310,159;0,1636399;0,1389495;
1312,023;0,1657579;0,1411125;
1313,887;0,1681509;0,1435502;
1315,750;0,1704768;0,1459208;
1317,614;0,1728991;0,1483875;
1319,478;0,1754878;0,1510203;
1321,341;0,1780358;0,1536123;
1323,205;0,1804959;0,1561163;
1325,069;0,1831157;0,1587798;
1326,932;0,1856973;0,1614048;
1328,796;0,1882449;0,1639957;
1330,660;0,1907825;0,1665764;
1332,523;0,193433;0,1692698;
1334,387;0,195836;0,1717156;
1336,251;0,1983203;0,1742425;
1338,114;0,2012759;0,1772404;
1339,978;0,2046462;0,1806529;
1341,842;0,207441;0,1834898;
1343,705;0,2098037;0,1858943;
1345,569;0,2122751;0,1884073;
1347,433;0,2147417;0,1909155;
1349,296;0,2169696;0,1931847;
1351,160;0,2189573;0,1952136;
1353,024;0,2206208;0,1969181;
1354,887;0,2222328;0,1985709;
1356,751;0,2236419;0,2000207;
1358,615;0,225047;0,2014662;
1360,478;0,226763;0,2032226;
1362,342;0,2291012;0,205601;
1364,206;0,2312051;0,2077449;
1366,069;0,2324124;0,208992;
1367,933;0,2335745;0,2101938;
1369,797;0,2345549;0,2112136;
1371,660;0,2342481;0,2109462;
1373,524;0,2321557;0,208893;
1375,388;0,227351;0,2041273;
1377,251;0,2198303;0,1966455;
1379,115;0,2108578;0,1877117;
1380,979;0,2015806;0,178473;
1382,842;0,1923344;0,1692652;
1384,706;0,1835414;0,1605105;
1386,570;0,1749991;0,1520063;
1388,433;0,1670739;0,144119;
1390,297;0,1603738;0,1374567;
1392,161;0,1545364;0,1316569;
1394,024;0,1490006;0,1261586;
1395,888;0,143946;0,1211413;
1397,752;0,1394933;0,1167259;
1399,615;0,1350535;0,1123231;
1401,479;0,1309334;0,1082398;
1403,343;0,1270062;0,1043494;
1405,206;0,1228608;0,1002406;
1407,070;0,1189216;0,09633781;
1408,934;0,1150592;0,09251175;
1410,797;0,1112241;0,08871284;
1412,661;0,1075063;0,08503103;
1414,525;0,1039336;0,08149422;
1416,388;0,1004946;0,07809095;
1418,252;0,09689332;0,07452525;
1420,116;0,09294489;0,07061226;
