;Apr28_TPC_02-04-04_LMW_salt;Apr28_TPC_02-04-04_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1572,937;0,02213165;0,009731525;
1574,800;0,02194607;0,00955608;
1576,664;0,0229587;0,0105788;
1578,528;0,02313356;0,01076372;
1580,391;0,02269095;0,01033113;
1582,255;0,02266707;0,01031724;
1584,119;0,0227078;0,01036793;
1585,982;0,02274179;0,01041183;
1587,846;0,02278799;0,01046791;
1589,710;0,02285362;0,01054339;
1591,573;0,02292892;0,01062851;
1593,437;0,02312066;0,01083003;
1595,301;0,02327312;0,01099223;
1597,164;0,02332533;0,01105415;
1599,028;0,02342243;0,01116093;
1600,892;0,02366429;0,01141243;
1602,755;0,02387688;0,01163463;
1604,619;0,02402472;0,01179204;
1606,483;0,02416268;0,01193955;
1608,346;0,02441657;0,01220295;
1610,210;0,02453775;0,0123336;
1612,074;0,02438831;0,01219361;
1613,937;0,02414402;0,01195872;
1615,801;0,02451063;0,01233471;
1617,665;0,02538903;0,01322245;
1619,528;0,02489643;0,01273917;
1621,392;0,02434871;0,01220073;
1623,256;0,0248398;0,01270107;
1625,119;0,02518227;0,01305276;
1626,983;0,02498935;0,01286903;
1628,847;0,02509841;0,01298724;
1630,710;0,02484125;0,0127392;
1632,574;0,02445773;0,01236477;
1634,438;0,02477369;0,01268979;
1636,301;0,02632484;0,01424998;
1638,165;0,02645029;0,01438443;
1640,029;0,02584682;0,01378993;
1641,892;0,02544705;0,01339909;
1643,756;0,02514118;0,01310212;
1645,620;0,0254478;0,01341762;
1647,483;0,02654272;0,01452139;
1649,347;0,026148;0,01413549;
1651,211;0,02535627;0,01335254;
1653,074;0,02771575;0,01572079;
1654,938;0,02982172;0,01783548;
1656,802;0,02863185;0,01665431;
1658,665;0,02817638;0,01620751;
1660,529;0,02841516;0,01645493;
1662,393;0,02918697;0,01723535;
1664,256;0,02985765;0,01791461;
1666,120;0,02950944;0,01757496;
1667,984;0,02944318;0,01751722;
1669,847;0,0305362;0,01861874;
1671,711;0,03091227;0,01900327;
1673,575;0,03052029;0,01861974;
1675,438;0,03091166;0,01901952;
1677,302;0,03082418;0,01894042;
1679,166;0,02972164;0,01784623;
1681,029;0,02898581;0,01711873;
1682,893;0,02860581;0,01674703;
1684,757;0,03004717;0,01819667;
1686,620;0,02962227;0,01778001;
1688,484;0,02839056;0,01655651;
1690,348;0,02767362;0,01584776;
1692,211;0,02664425;0,01482656;
1694,075;0,02530328;0,01349373;
1695,939;0,02479581;0,01299436;
1697,802;0,02463188;0,01283852;
1699,666;0,02399613;0,01221082;
1701,530;0,02407449;0,01229721;
1703,393;0,02280328;0,01103401;
1705,257;0,02192112;0,01015983;
1707,121;0,02161148;0,009858141;
1708,984;0,02081034;0,009064926;
1710,848;0,01980398;0,008066468;
1712,712;0,0188068;0,007077157;
1714,575;0,01818502;0,006463226;
1716,439;0,01805343;0,006339461;
1718,303;0,01811886;0,006412687;
1720,166;0,01772275;0,006024346;
1722,030;0,01696374;0,005273085;
1723,894;0,01650051;0,004817574;
1725,757;0,01608908;0,004413845;
1727,621;0,0155819;0,003914336;
1729,485;0,01510812;0,003448199;
1731,348;0,01457473;0,002922434;
1733,212;0,01425303;0,002608327;
1735,076;0,0146553;0,003018177;
1736,939;0,01390049;0,002270913;
1738,803;0,01324969;0,001627639;
1740,667;0,01307023;0,001455679;
1742,530;0,01278568;0,001178602;
1744,394;0,0124729;0,0008732706;
1746,258;0,01200707;0,0004148764;
1748,121;0,01165209;6,729647E-5;
1749,985;0,01167426;9,685266E-5;
1751,849;0,01184873;0,0002786773;
1753,712;0,01184969;0,0002869664;
1755,576;0,01204939;0,0004939787;
1757,440;0,01317999;0,00163187;
1759,303;0,01473505;0,003194195;
1761,167;0,01727002;0,005736405;
1763,031;0,01853171;0,007005308;
1764,894;0,01505599;0,003536789;
1766,758;0,01127627;-0,0002357582;
1768,622;0,009825178;-0,001679702;
1770,485;0,009354941;-0,002142811;
1772,349;0,009441882;-0,002048765;
1774,213;0,009684562;-0,001799003;
1776,076;0,009530702;-0,001945802;
1777,940;0,009373283;-0,002096184;
1779,804;0,009282279;-0,002180171;
1781,667;0,009441319;-0,002014137;
1783,531;0,009415584;-0,002032901;
1785,395;0,009420714;-0,00202082;
1787,258;0,009344746;-0,00208986;
1789,122;0,009010071;-0,002417628;
1790,986;0,008950197;-0,002470616;
1792,849;0,009279485;-0,002134464;
1794,713;0,009349308;-0,002057798;
1796,577;0,009150136;-0,00225015;
1798,441;0,008951746;-0,002441739;
1800,304;0,008989281;-0,002397425;
1802,168;0,009236362;-0,002143586;
1804,032;0,009110289;-0,002262922;
1805,895;0,008917743;-0,002448753;
1807,759;0,00888163;-0,00247817;
1809,623;0,008798948;-0,002554177;
1811,486;0,008772734;-0,002573737;
1813,350;0,008726975;-0,002612863;
1815,214;0,008527929;-0,002805295;
1817,077;0,008509369;-0,002817262;
1818,941;0,008675578;-0,002644481;
1820,805;0,008761094;-0,002552413;
1822,668;0,008704796;-0,002602178;
1824,532;0,008666594;-0,002633868;
1826,396;0,008594303;-0,002699666;
1828,259;0,00850597;-0,002781527;
1830,123;0,008673674;-0,00260737;
1831,987;0,008788226;-0,002486385;
1833,850;0,008510794;-0,002757404;
1835,714;0,008396422;-0,002865382;
1837,578;0,008434691;-0,002820738;
1839,441;0,008485087;-0,002763987;
1841,305;0,008398974;-0,002843764;
1843,169;0,008294005;-0,002942417;
1845,032;0,008441901;-0,002788222;
1846,896;0,008413652;-0,002810193;
1848,760;0,008482716;-0,00273487;
1850,623;0,008575723;-0,002635622;
1852,487;0,008487876;-0,002717247;
1854,351;0,008511;-0,00268792;
1856,214;0,008403728;-0,002789008;
1858,078;0,008498064;-0,002688506;
1859,942;0,008480552;-0,00269987;
1861,805;0,008338768;-0,002835526;
1863,669;0,008457055;-0,002711129;
1865,533;0,008492062;-0,002670029;
1867,396;0,008292479;-0,002863538;
1869,260;0,008461628;-0,002688334;
1871,124;0,008528032;-0,002615893;
1872,987;0,008354331;-0,002783574;
1874,851;0,008336902;-0,002795001;
1876,715;0,008371592;-0,002754327;
1878,578;0,008488928;-0,002631026;
1880,442;0,008381075;-0,00273293;
1882,306;0,008009389;-0,003098685;
1884,169;0,008058031;-0,003044131;
1886,033;0,008088087;-0,003008179;
1887,897;0,008125935;-0,002964453;
1889,760;0,008363012;-0,002721515;
1891,624;0,008413275;-0,002665409;
1893,488;0,008090296;-0,002982561;
1895,351;0,007933329;-0,003133719;
1897,215;0,007767023;-0,003294234;
1899,079;0,007707517;-0,003347965;
1900,942;0,007902776;-0,003146948;
1902,806;0,00798167;-0,003062314;
1904,670;0,007712456;-0,003325803;
1906,533;0,007357624;-0,003674928;
1908,397;0,007466801;-0,003560061;
1910,261;0,007756096;-0,003265092;
1912,124;0,007899462;-0,003116068;
1913,988;0,007738505;-0,003271385;
1915,852;0,00735547;-0,003648795;
1917,715;0,007228822;-0,003769835;
1919,579;0,007288512;-0,003704554;
1921,443;0,007188491;-0,003798999;
1923,306;0,007280878;-0,003701053;
1925,170;0,007198994;-0,003777394;
1927,034;0,006995699;-0,003975162;
1928,897;0,006918601;-0,004046749;
1930,761;0,006423587;-0,004536268;
1932,625;0,006265402;-0,004688974;
1934,488;0,006736127;-0,004212785;
1936,352;0,006689588;-0,004253877;
1938,216;0,006697836;-0,004240197;
1940,079;0,006509448;-0,004423169;
1941,943;0,005756667;-0,005170549;
1943,807;0,005876408;-0,005045423;
1945,670;0,00609395;-0,004822512;
1947,534;0,006203752;-0,004707356;
